,Unnamed: 0,FieldID,Model,Metric,Irrigation
35,,WC1,XGBoost Leave-One-Field-Out,NMAE (%),9.611194122620931
36,,WC11,XGBoost Leave-One-Field-Out,RMSE (mm),32.107491210937496
37,,WC11,XGBoost Leave-One-Field-Out,PBIAS (%),8.564190088912762
38,,WC11,XGBoost Leave-One-Field-Out,NMAE (%),8.564190088912762
39,,WC16,XGBoost Leave-One-Field-Out,RMSE (mm),77.40324853515625
40,,WC16,XGBoost Leave-One-Field-Out,PBIAS (%),-30.750474163199605
41,,WC16,XGBoost Leave-One-Field-Out,NMAE (%),30.750474163199605
42,,WC19,XGBoost Leave-One-Field-Out,RMSE (mm),13.881668701171861
43,,WC19,XGBoost Leave-One-Field-Out,PBIAS (%),2.6856137091396355
44,,WC19,XGBoost Leave-One-Field-Out,NMAE (%),2.6856137091396355
45,,WC2,XGBoost Leave-One-Field-Out,RMSE (mm),17.849774902343768
46,,WC2,XGBoost Leave-One-Field-Out,PBIAS (%),6.291379081462496
47,,WC2,XGBoost Leave-One-Field-Out,NMAE (%),6.291379081462496
48,,WC21,XGBoost Leave-One-Field-Out,RMSE (mm),8.281348632812524
49,,WC21,XGBoost Leave-One-Field-Out,PBIAS (%),-2.2194509717394455
50,,WC21,XGBoost Leave-One-Field-Out,NMAE (%),2.2194509717394455
51,,WC22,XGBoost Leave-One-Field-Out,RMSE (mm),62.4918485439558
52,,WC22,XGBoost Leave-One-Field-Out,PBIAS (%),-21.90264693885703
53,,WC22,XGBoost Leave-One-Field-Out,NMAE (%),21.902646938857025
54,,WC23,XGBoost Leave-One-Field-Out,RMSE (mm),108.36357348632814
55,,WC23,XGBoost Leave-One-Field-Out,PBIAS (%),-49.20740969690404
56,,WC23,XGBoost Leave-One-Field-Out,NMAE (%),49.20740969690404
57,,WC24,XGBoost Leave-One-Field-Out,RMSE (mm),13.322338378906238
58,,WC24,XGBoost Leave-One-Field-Out,PBIAS (%),3.1369707594531135
59,,WC24,XGBoost Leave-One-Field-Out,NMAE (%),3.1369707594531135
60,,WC25,XGBoost Leave-One-Field-Out,RMSE (mm),38.20138085937498
61,,WC25,XGBoost Leave-One-Field-Out,PBIAS (%),-11.8798686604766
62,,WC25,XGBoost Leave-One-Field-Out,NMAE (%),11.8798686604766
63,,WC3,XGBoost Leave-One-Field-Out,RMSE (mm),44.77039208984377
64,,WC3,XGBoost Leave-One-Field-Out,PBIAS (%),-15.515967093352755
65,,WC3,XGBoost Leave-One-Field-Out,NMAE (%),15.515967093352755
66,,WC4,XGBoost Leave-One-Field-Out,RMSE (mm),11.578524414062485
67,,WC4,XGBoost Leave-One-Field-Out,PBIAS (%),-3.098894751029747
68,,WC4,XGBoost Leave-One-Field-Out,NMAE (%),3.098894751029747
69,,WC5,XGBoost Leave-One-Field-Out,RMSE (mm),57.780362850028695
70,,WC5,XGBoost Leave-One-Field-Out,PBIAS (%),-2.5165851726685675
71,,WC5,XGBoost Leave-One-Field-Out,NMAE (%),14.970582228184554
72,,WC6,XGBoost Leave-One-Field-Out,RMSE (mm),21.231369628906236
73,,WC6,XGBoost Leave-One-Field-Out,PBIAS (%),7.205868052167471
74,,WC6,XGBoost Leave-One-Field-Out,NMAE (%),7.205868052167471
75,,WC8,XGBoost Leave-One-Field-Out,RMSE (mm),48.552182081533935
76,,WC8,XGBoost Leave-One-Field-Out,PBIAS (%),9.970954580501642
77,,WC8,XGBoost Leave-One-Field-Out,NMAE (%),9.970954580501642
78,,WC9,XGBoost Leave-One-Field-Out,RMSE (mm),64.28659765625002
79,,WC9,XGBoost Leave-One-Field-Out,PBIAS (%),16.531472316547266
80,,WC9,XGBoost Leave-One-Field-Out,NMAE (%),16.531472316547266
